screen_name,acct_age,follower_count,friends_count,statuses_count,favorites_count,avg_status_count,verified_acct,default_image,default_profile,rel_new_acct,isbot
abhideoraj,3878,87,190,1328,2456,0.34244455905105725,0,0,0,0,0
Ashwinirajbihar,1152,239,177,3815,8638,3.3116319444444446,0,0,1,0,0
Rjjj1998,1965,63,319,6931,21098,3.5272264631043257,0,0,1,0,0
vidhyapune19,1321,10,40,4,9,0.003028009084027252,0,0,0,0,0
Saifialam101,785,179,274,4857,49140,6.187261146496815,0,0,1,0,0
PrivateVinodhR,3815,3028,1997,49426,2749,12.95570117955439,0,0,0,0,0
sdhull,3901,477,197,5390,90,1.3816970007690337,0,0,0,0,0
imakash91,293,18,50,313,1214,1.068259385665529,0,0,1,0,0
DineshP97874451,609,12,155,1397,1209,2.2939244663382596,0,0,1,0,0
MHismailahmads2,75,24,39,459,88,6.12,0,0,1,1,0
Poinnt_Blankk,1190,4049,3637,11257,10661,9.459663865546219,0,0,1,0,0
JiteshSGautam,1588,19,197,70,55,0.04408060453400504,0,0,1,0,0
caashujha,3574,14196,5833,46416,18239,12.987129266927813,0,0,0,0,0
HussainRaviFan,1719,515,209,16894,40439,9.827806864456079,0,0,1,0,0
DPRArohana,1325,2772,705,10568,28883,7.975849056603773,0,0,1,0,0
copnikhil,1178,144,342,1619,12896,1.3743633276740237,0,0,1,0,0
great_guruji,1131,74,549,32274,33088,28.53580901856764,0,0,1,0,0
imarpitmi,2759,172,1169,4138,9131,1.4998187749184486,0,0,0,0,0
Bairagi_sk33,708,9059,8259,19996,26778,28.242937853107346,0,0,1,0,0
BlackMirrorMonk,1158,169,137,21019,9125,18.15112262521589,0,0,1,0,0
abhaylohat,2301,961,389,10058,35520,4.371142981312473,0,0,1,0,0
rohan_yk,776,14,159,262,632,0.33762886597938147,0,0,1,0,0
coffee_garam,2475,5562,603,61952,16455,25.031111111111112,0,0,0,0,0
unwrtn,224,56,759,3904,829,17.428571428571427,0,0,1,1,0
mesunainah,1234,247,600,3518,6166,2.8508914100486225,0,0,1,0,0
freak9411,2696,509,296,123435,121247,45.784495548961424,0,0,0,0,0
Walter_30jun,849,2732,2956,29818,26687,35.121319199057716,0,0,1,0,0
